Soundex of abckvq : 3  : abusive : abusively : abusiveness
Metaphone of gqw : 34  : cacao : cake : cc : coca : cock : cocky : cocoa : cog : coke : cook : cookie : coq : cuckoo : gag : gaga : gawk : gawky : gc : gogo : gook : kaki : kc : keg : kg : kick : kook : kooky : qc : quack : quake : quaky : quick : quickie : quokka
Soundex of grb : 25  : garb : giraffe : grab : grabby : grape : graph : grave : gravy : grebe : greve : grief : grieve : griff : grip : gripe : grippe : groove : groovy : grope : group : groupie : grove : grub : grubby : gruff
Metaphone of grb : 16  : carboy : carib : caribou : carob : corby : crab : crabby : crib : curb : garb : grab : grabby : grebe : grub : grubby : kerb
Soundex of grvkb : 39  : garbage : garbs : garfish : garfishes : gearbox : gearboxes : giraffes : grabs : grapes : grapeshot : graphic : graphical : graphically : graphics : graphs : graves : gravesend : gravesides : gravest : gravestone : gravestones : gravies : gravis : grebes : greves : grieves : grievous : grievously : griffs : gripes : grippes : grips : grooves : gropes : groupies : groups : groves : grubbiest : grubs
Soundex of grxjvyp : 17  : graceful : gracefully : gracefulness : grasp : grasped : grasping : grasps : grassfire : grassfires : grasshopper : grasshoppers : greasepaint : grosbeak : grosbeaks : gyroscope : gyroscopes : gyroscopic
Soundex of gszklql : 8  : galashiels : ghoulishly : glacial : glaciology : glassily : glasslike : glossily : glycol
Soundex of gwdeqhl : 2  : godchild : godchildren
Metaphone of gwdeqhl : 2  : catcall : cuticle
Soundex of gxdv : 4  : getup : godiva : goodby : goodbye
Soundex of gyi : 12  : gay : gc : gce : gcse : gee : geo : gi : go : goo : gooey : goya : guy
Soundex of gzkpl : 7  : gabble : gabelle : gable : gafol : gavel : gavial : gobble
Soundex of gzoh : 12  : gay : gc : gce : gcse : gee : geo : gi : go : goo : gooey : goya : guy
Metaphone of gzoh : 39  : cas : case : casey : cass : cassia : causa : cause : caws : coos : cos : cosy : cows : cs : cues : cuss : gaius : gas : gassy : gauss : gauze : gauzy : gays : gaza : gaze : gce : goes : goose : guess : guise : gus : guys : kazoo : keys : kiss : quasi : quays : queasy : queues : quiz
Soundex of hafp : 28  : habeo : haifa : happy : have : heap : heave : heavy : hip : hippie : hippo : hippy : hive : hob : hobby : hobo : hoof : hoop : hoopoe : hop : hope : hopi : hove : hub : hubby : huff : huffy : hype : hypo
Soundex of hbi : 28  : habeo : haifa : happy : have : heap : heave : heavy : hip : hippie : hippo : hippy : hive : hob : hobby : hobo : hoof : hoop : hoopoe : hop : hope : hopi : hove : hub : hubby : huff : huffy : hype : hypo
Metaphone of hbi : 17  : ba : baa : bah : bay : be : beau : bee : bi : bo : boa : boo : bough : bow : boy : buoy : buy : by
Soundex of hbmim : 6  : hafnium : happening : happenings : hoffman : hoffmann : hyphening
Soundex of hbn : 6  : happen : havana : haven : heaven : hipbone : hyphen
Metaphone of hbn : 20  : ban : bane : bean : beanie : been : ben : benny : biennia : bin : bon : bona : bone : bonn : bonnie : bonny : bono : bony : boon : bun : bunny
Soundex of hbwtwe : 16  : habet : habit : habitue : habituÉ : haft : heaped : heaved : heft : hefty : hobbit : hoofed : hooped : hoped : hopped : huffed : hyped
Soundex of hbxgn : 5  : hopkins : hypochondria : hypochondriac : hypochondriacs : hypogeum
Soundex of hcvw : 5  : hasp : hiccup : highboy : housewife : hyssop
Metaphone of hcvw : 23  : cafe : cave : coffee : coif : cough : cove : covey : cuff : gaff : gaffe : gave : goff : gogh : goof : goofy : gov : guava : guff : guffaw : kiev : kph : quaff : quiff
Soundex of heegws : 31  : hackies : hacksaws : haggis : hakes : hashes : hashish : hassock : hassocks : haughs : hawses : hazes : hexes : hiccough : hickeys : highs : highways : hijack : hijacks : hikes : hisses : hoaxes : hoggish : hogwash : hookahs : hoses : houses : hughes : hushes : huskies : hussies : huzzahs
Metaphone of heegws : 17  : hackies : hacks : hacksaw : haggis : hags : hakes : hawks : hex : hickeys : hicks : hikes : hoax : hocks : hogs : hookahs : hooks : hugs
Soundex of hfmap : 4  : hobnob : hobnobbed : hobnobbing : hobnobs
Metaphone of hfmap : 1  : vamp
Soundex of hfq : 27  : habeas : haves : havoc : heaps : heaves : heavies : hibachi : hippies : hippos : hips : hives : hobbies : hoboes : hobos : hobs : hoofs : hoopoes : hoops : hooves : hopes : hopis : hops : hubbies : hubs : huffs : hypes : hypos
Metaphone of hfq : 17  : fag : fake : fig : figgie : fog : foggy : fuck : fugue : fuqua : vac : vacua : vague : vc : veggie : vic : vicki : vogue
Soundex of hftgsi : 31  : habits : habituÉs : hafts : haybotes : heftiest : hefts : hepatic : hepatica : hepaticas : heptachlor : heptagon : heptagonal : heptagons : hobbits : hypotheca : hypothecary : hypothecate : hypothecated : hypothecates : hypothecating : hypothecation : hypotheses : hypothesis : hypothesise : hypothesised : hypothesises : hypothesising : hypothesize : hypothesized : hypothesizes : hypothesizing
Metaphone of hftgsi : 2  : fatigues : vodkas
Soundex of hfwt : 16  : habet : habit : habitue : habituÉ : haft : heaped : heaved : heft : hefty : hobbit : hoofed : hooped : hoped : hopped : huffed : hyped
Metaphone of hfwt : 42  : fad : faddy : fade : fait : fat : fata : fate : fatty : fatua : feat : fed : feed : feet : feod : fete : feud : fiat : fide : fidei : fit : foeti : food : foot : ft : ghetto : phd : photo : vat : veda : vet : veto : vid : vide : video : vidi : vied : vita : vitae : void : voodoo : vote : yvette
Soundex of hgbjt : 11  : hagfish : hagfishes : hasps : hiccups : highboys : hogback : hogbacks : hospice : hospices : housewives : hyssops
Soundex of hhhne : 25  : ham : hammy : hanna : hannah : hanoi : hawaiian : haymow : hem : hemi : hen : henna : hewn : him : home : homey : homme : homo : homy : hon : hone : honey : hum : hun : hyena : hymn
Metaphone of hhhne : 18  : gnaw : gnu : knee : knew : know : nay : ne : nee : neo : new : nne : nnw : no : noah : now : nw : wnw : wynn
Soundex of hie : 20  : ha : haw : hawaii : hay : he : heehaw : hew : hey : hi : ho : hoe : hoi : hooey : how : howe : hoy : hue : huh : hui : hwy
Metaphone of hie : 19  : ha : haugh : haw : hay : he : hew : hey : hi : ho : hoe : hoi : hooey : hough : how : hoy : hue : huh : hui : yha
Soundex of hil : 28  : hail : hale : haley : hall : halley : hallo : halloo : hallow : hallway : halo : haul : heal : healey : heel : hell : hello : hill : hilly : hole : hollow : holloway : holly : holy : howell : howl : hula : hull : hullo
Metaphone of hil : 25  : hail : hale : haley : hall : halley : hallo : halloo : hallow : halo : haul : heal : healey : heel : hell : hello : hill : hilly : hole : hollow : holly : holy : howl : hula : hull : hullo
Soundex of hjn : 10  : hackney : hashanah : hessian : hexane : hexham : heysham : hogan : hokum : hosanna : hygiene
Metaphone of hjn : 25  : gene : genie : genii : genoa : gin : ginnie : hygiene : jan : jane : jean : jeanne : jeannie : jenny : jinn : jinni : joan : joanna : joanne : john : johnny : join : jon : jonah : juan : june
Soundex of hjv : 5  : hasp : hiccup : highboy : housewife : hyssop
Metaphone of hjv : 9  : geoff : give : jaffa : java : jeff : jiff : jiffy : jive : jove
Soundex of hjygv : 3  : housekeeper : housekeepers : housekeeping
Soundex of hkgg : 70  : haas : hac : hack : hackie : hacks : hacksaw : haec : hag : haggai : hags : hague : haiku : hake : has : hash : haugh : hawes : hawick : hawk : hawks : haws : hawse : hayes : hays : haze : hazy : heck : heehaws : hess : hews : hex : hick : hickey : hicks : high : highway : hike : his : hiss : hoax : hoc : hock : hockey : hocks : hoes : hog : hogs : hooch : hook : hookah : hookey : hooks : hooky : hose : hosea : hough : house : hues : hug : huge : hugh : hugo : hugs : huis : hush : husk : husks : husky : hussy : huzzah
Metaphone of hkgg : 34  : cacao : cake : cc : coca : cock : cocky : cocoa : cog : coke : cook : cookie : coq : cuckoo : gag : gaga : gawk : gawky : gc : gogo : gook : kaki : kc : keg : kg : kick : kook : kooky : qc : quack : quake : quaky : quick : quickie : quokka
Soundex of hkpmti : 13  : hiccuping : hiccupping : highbinder : hispanic : hispanics : housebound : husband : husbanded : husbanding : husbandman : husbandmen : husbandry : husbands
Soundex of hlm : 8  : halloween : helen : helena : helium : hellion : helm : holm : hyaline
Metaphone of hlm : 18  : lam : lama : lamb : lame : lemma : lima : limb : limbo : lime : limey : limo : limy : llama : lm : loam : loamy : loma : loom
Soundex of hnkzly : 6  : haemoglobin : hansel : hemoglobin : himself : hinckley : hounslow
Metaphone of hnkzly : 1  : noxell
Soundex of hnm : 25  : ham : hammy : hanna : hannah : hanoi : hawaiian : haymow : hem : hemi : hen : henna : hewn : him : home : homey : homme : homo : homy : hon : hone : honey : hum : hun : hyena : hymn
Metaphone of hnm : 11  : gnome : nam : nama : name : naomi : nemo : niamey : nimbi : nom : nome : numb
Soundex of hnnz : 52  : haines : hammock : hammocks : hams : hang : hangs : hank : hankie : hanks : hanky : hans : hanse : hanukkah : haunch : hawaiians : hawing : haying : haymows : haynes : heehawing : heinous : heinz : hems : hence : henge : hens : hewing : hinge : hmso : hoeing : homage : homes : hommes : honcho : hones : honeys : hong : honk : honkie : honks : honky : honshu : hummock : hummocks : hums : humus : hunch : hung : hunk : hunks : hyenas : hymns
Metaphone of hnnz : 24  : gnaws : gneiss : gnus : knees : knows : nassau : nausea : nays : nazi : ness : news : newsy : nice : niece : nisei : nisi : noes : noise : noisy : noose : nose : nosey : nosy : nous
Soundex of hnoyoi : 25  : ham : hammy : hanna : hannah : hanoi : hawaiian : haymow : hem : hemi : hen : henna : hewn : him : home : homey : homme : homo : homy : hon : hone : honey : hum : hun : hyena : hymn
Soundex of hnto : 22  : hammed : hand : handy : haunt : hemmed : hennaed : hind : hindi : hindu : hint : homed : honda : honed : honeydew : honeyed : hound : humid : hummed : hunt : hymned : hymnody : hyundai
Metaphone of hnto : 29  : gnat : knead : kneed : knit : knot : knotty : naiad : nat : nato : natty : neat : ned : need : needy : net : newt : nit : nitty : nod : noddy : node : not : nota : notae : note : nt : nude : nut : nutty
Soundex of hqexve : 3  : housekeeper : housekeepers : housekeeping
Soundex of hqi : 70  : haas : hac : hack : hackie : hacks : hacksaw : haec : hag : haggai : hags : hague : haiku : hake : has : hash : haugh : hawes : hawick : hawk : hawks : haws : hawse : hayes : hays : haze : hazy : heck : heehaws : hess : hews : hex : hick : hickey : hicks : high : highway : hike : his : hiss : hoax : hoc : hock : hockey : hocks : hoes : hog : hogs : hooch : hook : hookah : hookey : hooks : hooky : hose : hosea : hough : house : hues : hug : huge : hugh : hugo : hugs : huis : hush : husk : husks : husky : hussy : huzzah
Metaphone of hqi : 32  : ca : caw : co : coi : coo : cow : coy : cue : cui : gay : go : goo : gooey : guy : ka : kaia : kauai : kay : kew : key : ko : ku : kwh : qua : quae : quay : queue : qui : quia : quo : wc : ywca
Soundex of hrdv : 27  : hardback : hardbacks : hardball : hardballs : hardboard : hardboards : hardtop : hardtops : hartebeest : hartebeests : hartford : heartbeat : heartbeats : heartbreak : heartbreaker : heartbreakers : heartbreaking : heartbreaks : heartbroken : heartburn : heartfelt : heretofore : heritable : hertford : hertfordshire : hurtful : hurtfully
Metaphone of hrdv : 2  : ratify : rtf
Soundex of hslxhv : 11  : hackles : haggles : hassles : hazels : heckles : highlight : highlighted : highlighter : highlighters : highlighting : highlights
Soundex of htyyka : 30  : haddock : haddocks : hades : hatch : hatchway : hates : hats : headache : headachy : heads : heaths : heats : hedge : heeds : heydays : hiatus : hideaways : hideous : hides : hitachi : hitch : hits : hods : hoods : hoots : hothouse : hotkey : hots : hutch : huts
Metaphone of htyyka : 42  : decay : deck : deco : decoy : dica : dick : dickey : dicky : diego : dig : dike : doc : dock : dog : doggie : doggo : doggy : doug : duck : ducky : dug : duke : dyke : tack : tacky : taco : tag : taiga : take : teak : tic : tick : tike : tog : toga : togo : took : toque : tuc : tuck : tug : tyke
Soundex of huamemr : 3  : homeowner : homeowners : humaniores
Soundex of huzjgze : 70  : haas : hac : hack : hackie : hacks : hacksaw : haec : hag : haggai : hags : hague : haiku : hake : has : hash : haugh : hawes : hawick : hawk : hawks : haws : hawse : hayes : hays : haze : hazy : heck : heehaws : hess : hews : hex : hick : hickey : hicks : high : highway : hike : his : hiss : hoax : hoc : hock : hockey : hocks : hoes : hog : hogs : hooch : hook : hookah : hookey : hooks : hooky : hose : hosea : hough : house : hues : hug : huge : hugh : hugo : hugs : huis : hush : husk : husks : husky : hussy : huzzah
Soundex of hvq : 27  : habeas : haves : havoc : heaps : heaves : heavies : hibachi : hippies : hippos : hips : hives : hobbies : hoboes : hobos : hobs : hoofs : hoopoes : hoops : hooves : hopes : hopis : hops : hubbies : hubs : huffs : hypes : hypos
Metaphone of hvq : 17  : fag : fake : fig : figgie : fog : foggy : fuck : fugue : fuqua : vac : vacua : vague : vc : veggie : vic : vicki : vogue
Soundex of hwdygfj : 9  : hatchback : hatchbacks : headship : headships : hodgepodge : hodgepodges : hotchpot : hotchpotch : hotchpotches
Soundex of hyv : 28  : habeo : haifa : happy : have : heap : heave : heavy : hip : hippie : hippo : hippy : hive : hob : hobby : hobo : hoof : hoop : hoopoe : hop : hope : hopi : hove : hub : hubby : huff : huffy : hype : hypo
Metaphone of hyv : 23  : fa : fay : fe : fee : few : fey : fi : fie : fo : foe : foy : fu : fy : ph : phew : phi : phooey : vi : via : vie : view : vow : vu
Soundex of hyxgvoq : 11  : hagfish : hagfishes : hasps : hiccups : highboys : hogback : hogbacks : hospice : hospices : housewives : hyssops
Soundex of iauio : 5  : ie : ii : iii : iou : iowa
Metaphone of iauio : 4  : ie : ii : iii : iou
Soundex of ichoa : 8  : ice : icy : ious : is : isaiah : iso : issue : ix
Metaphone of ichoa : 2  : itch : itchy
Soundex of idbdixa : 1  : idiopathic
Soundex of idhzq : 10  : ideas : idees : ides : idiocy : ids : iodise : iodize : itch : itchy : its
Soundex of iea : 5  : ie : ii : iii : iou : iowa
Metaphone of iea : 4  : ie : ii : iii : iou
Soundex of iebz : 9  : ibex : ibis : ibiza : ifs : ipsa : ipse : ipso : ives : ivies
Metaphone of iebz : 2  : ibis : ibiza
Soundex of ies : 8  : ice : icy : ious : is : isaiah : iso : issue : ix
Metaphone of ies : 7  : ice : icy : ious : is : isaiah : iso : issue
